FEDNUM,Riding,Party
35108,Toronto Centre,Liberal
35109,Toronto—Danforth,Liberal
35090,Toronto—St. Paul's,Liberal
24076,Trois-Rivières,Bloc Québécois
35110,University—Rosedale,Liberal
59034,Vancouver Centre,Liberal
59035,Vancouver East,NDP
59036,Vancouver Granville,Independent
59038,Vancouver Kingsway,NDP
59039,Vancouver Quadra,Liberal
59040,Vancouver South,Liberal
24074,Vaudreuil—Soulanges,Liberal
35111,Vaughan—Woodbridge,Liberal
59041,Victoria,NDP
24077,Ville-Marie—Le Sud-Ouest—Île-des-Soeurs,Liberal
24078,Vimy,Liberal
35112,Waterloo,Liberal
35113,Wellington—Halton Hills,Conservative
12011,West Nova,Conservative
59042,West Vancouver—Sunshine Coast—Sea to Sky Country,Liberal
35114,Whitby,Liberal
35115,Willowdale,Liberal
35117,Windsor West,NDP
35116,Windsor—Tecumseh,Liberal
46011,Winnipeg Centre,NDP
46012,Winnipeg North,Liberal
46013,Winnipeg South,Liberal
46014,Winnipeg South Centre,Liberal
48034,Yellowhead,Conservative
35118,York Centre,Liberal
35120,York South—Weston,Liberal
35119,York—Simcoe,Conservative
47014,Yorkton—Melville,Conservative
60001,Yukon,Liberal
